service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20230521,20230528
2,0,0,0,0,1,0,0,20230519,20230526
3,1,1,1,1,1,0,0,20230518,20230531
4,1,1,1,1,1,1,1,20230518,20230630
5,0,0,0,0,0,1,1,20230520,20230528
6,0,0,0,0,0,1,0,20230520,20230527
7,1,1,1,1,0,0,0,20230518,20230531
8,1,0,0,0,0,0,0,20230522,20230522
9,0,1,0,0,0,0,0,20230523,20230523
10,0,0,1,0,0,0,0,20230524,20230524
11,0,0,0,1,0,0,0,20230518,20230525
12,0,0,0,0,0,1,1,20230520,20230527
15,0,0,0,0,0,1,0,20230520,20230812
16,0,0,0,0,0,0,0,20230703,20230731
17,0,1,0,0,0,0,0,20230704,20230808
18,0,0,1,0,0,0,0,20230705,20230809
19,0,0,0,0,0,0,0,20230706,20230810
20,0,0,0,0,0,0,0,20230707,20230811
21,1,0,0,0,0,0,0,20230522,20230626
22,0,1,0,0,0,0,0,20230523,20230627
23,0,0,1,0,0,0,0,20230524,20230628
24,0,0,0,1,0,0,0,20230518,20230629
25,0,0,0,0,1,0,0,20230519,20230630
26,0,0,0,0,0,0,1,20230521,20230806
27,0,0,0,0,0,0,0,20230605,20230807
28,1,1,1,1,1,0,0,20230518,20230630
29,1,1,1,1,1,1,0,20230518,20230630
30,0,0,0,0,0,0,1,20230521,20230625
31,0,0,0,1,1,1,1,20230518,20230521
32,0,0,0,1,1,1,0,20230518,20230520
33,0,0,0,0,0,0,1,20230521,20230521
34,0,0,0,1,1,0,0,20230518,20230519
35,1,1,1,1,1,0,0,20230518,20240517
36,0,0,0,0,0,1,0,20230520,20230624
37,0,0,0,1,1,0,0,20230518,20230630
38,1,1,1,1,1,0,0,20230518,20230630
39,0,0,0,0,0,0,1,20230521,20230625
40,1,1,1,1,1,1,1,20230518,20240517
41,1,1,1,1,1,1,0,20230518,20240517
42,1,1,1,1,1,0,0,20230518,20230929
43,0,0,0,0,1,0,0,20230519,20230929
44,1,0,0,0,0,0,0,20230522,20230925
45,0,1,1,1,0,0,0,20230518,20230928
46,1,1,1,1,1,0,0,20231002,20240517
47,0,0,0,0,1,0,0,20231006,20240517
48,1,0,0,0,0,0,0,20231002,20240513
49,0,1,1,1,0,0,0,20231003,20240516
50,0,0,0,0,0,1,0,20230520,20240511
51,0,1,0,0,0,0,0,20230523,20240514
52,1,1,1,1,1,1,0,20230518,20230926
53,0,0,0,0,0,0,1,20230521,20230924
54,0,0,0,0,0,0,0,20230810,20230810
55,0,0,0,0,1,0,0,20230519,20240517
56,0,0,0,0,0,0,1,20230521,20240512
57,1,1,1,1,1,0,0,20230518,20240517
58,1,1,1,1,0,0,0,20230518,20240516
59,1,0,0,0,0,0,0,20230522,20240513
60,0,0,0,1,0,0,0,20230518,20240516
61,0,0,1,0,0,0,0,20230524,20240515
62,1,1,1,1,1,0,0,20230518,20230609
63,1,1,1,1,1,1,1,20230518,20230610
64,1,1,1,1,1,1,1,20230611,20240517
65,1,0,0,0,0,0,1,20230521,20240513
66,1,0,0,0,0,0,1,20230521,20240513
67,0,0,0,0,0,0,0,20231124,20231124
68,0,0,0,0,0,0,0,20240422,20240422
69,1,0,0,0,0,0,1,20230521,20231030
70,0,0,0,0,1,0,0,20230519,20231027
71,1,1,1,1,1,1,1,20230601,20230630
72,1,0,0,0,0,0,0,20230522,20230626
73,0,0,0,0,0,1,1,20230520,20240512
74,1,0,0,0,0,0,1,20230521,20240513
75,0,1,1,1,0,0,0,20230518,20240516
76,0,0,0,0,0,0,0,20230913,20230913
77,1,0,0,0,0,0,1,20230917,20240513
78,0,0,0,0,1,0,0,20230915,20240517
79,1,1,1,1,0,0,0,20230914,20240516
80,0,0,0,0,0,0,1,20230917,20240512
81,1,1,1,1,1,0,0,20230914,20240517
82,0,0,0,0,1,0,0,20230519,20231110
83,0,0,0,1,0,0,0,20230518,20231109
84,0,1,0,0,0,0,0,20230523,20231114
85,0,0,1,0,0,0,0,20230524,20231108
86,0,0,0,0,0,1,0,20230520,20231111
87,1,1,1,1,1,0,0,20230518,20230707
88,0,0,0,0,0,1,0,20230520,20230708
89,0,0,0,0,0,0,1,20230521,20230702
90,0,0,0,0,1,0,0,20230519,20230707
91,1,1,1,1,1,1,0,20230518,20230810
92,1,1,1,1,1,0,0,20230518,20230810
93,0,0,0,0,0,1,0,20230520,20230805
94,1,1,1,1,1,0,0,20230811,20240517
95,0,0,0,0,0,1,0,20230812,20240511
96,0,0,0,0,0,0,1,20230813,20240512
97,1,1,1,1,1,0,0,20230518,20240411
98,0,0,0,0,0,1,0,20230520,20240406
99,0,0,0,0,0,0,1,20230521,20240407
100,0,0,0,0,0,0,0,20240315,20240517
101,0,0,0,0,0,0,0,20240317,20240513
102,1,0,0,0,0,0,1,20230521,20240311
103,0,0,0,0,1,0,0,20230519,20240308
104,1,0,0,0,0,0,1,20230521,20240311
105,0,0,0,0,0,0,0,20230728,20230818
106,0,0,0,0,0,0,0,20230730,20230820
107,0,0,0,0,0,0,0,20230727,20230817
108,0,0,0,0,1,0,0,20230825,20240517
109,0,0,0,0,0,0,1,20230827,20240512
110,1,1,1,1,1,0,0,20230518,20231129
111,0,0,0,0,0,1,0,20230520,20231125
112,0,0,0,0,0,0,1,20230521,20231126
113,0,0,0,0,1,0,0,20230519,20231124
114,1,1,1,1,1,1,1,20230518,20231129
115,1,1,1,1,1,1,0,20230518,20231129
116,0,1,0,0,0,0,0,20230523,20231128
117,0,0,0,0,0,0,0,20231201,20240517
118,0,0,0,0,0,0,0,20231202,20240511
119,0,0,0,0,0,0,0,20231203,20240512
120,0,0,0,0,0,0,0,20231201,20240517
121,0,0,0,0,0,0,0,20231201,20240517
122,0,0,0,0,0,0,0,20231201,20240517
123,0,0,0,0,0,0,0,20231205,20240514
124,1,1,1,1,1,0,0,20230518,20230814
125,0,0,0,0,0,0,1,20230521,20230813
126,0,0,0,0,1,0,0,20230519,20230811
127,0,0,0,0,0,0,0,20230815,20230908
128,1,1,1,1,1,0,0,20230911,20240517
129,1,1,1,1,1,1,1,20230518,20230906
130,0,1,0,0,0,0,0,20230523,20230530
131,1,0,0,0,0,0,1,20230521,20240513
132,1,1,1,1,1,0,0,20230710,20240517
133,0,0,0,0,0,1,0,20230715,20240511
134,0,0,0,0,0,0,1,20230709,20240512
135,0,0,0,0,1,0,0,20230714,20240517
136,1,0,0,0,0,0,1,20230521,20230702
137,1,0,0,0,0,0,0,20230703,20240513
138,0,0,0,0,1,0,0,20230707,20240517
139,1,0,0,0,0,0,1,20230703,20240513
140,0,0,0,1,0,0,0,20230706,20240516
141,1,1,1,1,1,1,1,20230518,20230826
142,1,1,1,1,1,0,0,20230518,20230825
143,0,0,0,0,1,0,0,20230519,20230825
144,0,0,0,0,0,0,0,20230827,20230915
145,0,0,0,0,0,0,0,20230828,20230915
146,0,0,0,0,0,0,0,20230901,20230915
147,0,0,0,0,0,0,0,20231117,20240308
148,0,0,0,0,0,0,0,20231116,20240307
149,0,0,0,0,0,0,0,20231121,20240312
150,0,0,0,0,0,0,0,20231115,20240306
151,0,0,0,0,0,0,0,20231118,20240309
152,0,0,0,0,0,0,0,20240314,20240516
153,0,0,0,0,0,0,0,20240319,20240514
154,0,0,0,0,0,0,0,20240313,20240515
155,0,0,0,0,0,0,0,20240316,20240511
156,1,1,1,1,1,1,1,20230916,20240517
157,1,0,0,0,0,0,1,20230521,20230828
158,0,0,0,0,1,0,0,20230519,20230901
159,0,0,0,0,0,0,1,20230521,20230827
160,1,1,1,1,1,0,0,20230518,20240329
161,0,0,0,0,1,0,0,20230519,20240329
162,0,0,0,0,0,1,0,20230520,20240330
163,1,0,0,0,0,0,1,20230521,20240325
164,0,0,0,0,0,0,1,20230521,20240324
165,0,0,0,0,0,0,0,20240401,20240517
166,0,0,0,0,0,0,0,20240405,20240517
167,0,0,0,0,0,0,0,20240406,20240511
168,0,0,0,0,0,0,0,20240331,20240513
